asset_id,asset_name,asset_type,department,criticality,business_function,location,owner,last_updated
AST-ICU-001,Mindray BeneVision N22 Central Monitor,ICU monitoring systems,Intensive Care Unit,Critical,Real-time continuous patient telemetry and arrhythmia alarm generation,"Tower B, Floor 4, ICU Bed Cluster 1-12",Dr. Aris Thorne (Chief of Critical Care),2026-09-05T14:30:00Z
AST-ICU-002,Philips IntelliVue MX800 Patient Monitor,Patient monitoring devices,Intensive Care Unit,Critical,Hemodynamic bedside patient vitals tracking,"Tower B, Floor 4, ICU Bed Cluster 13-24",Dr. Aris Thorne (Chief of Critical Care),2026-09-04T10:15:00Z
AST-INF-001,Baxter Spectrum IQ Infusion Pump Gateway,Infusion pumps,General Medicine & Oncology,Critical,Automated IV medication dose verification and infusion rate control,"North Wing, Floor 3, MedSurg Station A","Sarah Lin, PharmD (Clinical Pharmacy Director)",2026-09-05T18:00:00Z
AST-MRI-001,Siemens Magnetom Vida 3T MRI Suite,MRI systems,Radiology,High,High-field magnetic resonance diagnostic neuro and cardiac imaging,"Basement 1, Imaging Bay 2",Marcus Vance (Director of Medical Imaging),2026-09-03T09:00:00Z
AST-CTS-001,GE Revolution Apex CT Scanner,CT scanners,Emergency & Trauma,Critical,Rapid trauma triage whole-body computed tomography scan,"Emergency Pavilion, Bay 1",Dr. Karen O'Connor (Emergency Medicine Dept),2026-09-05T20:45:00Z
AST-EHR-001,Epic Systems Hyperspace Production Cluster,Electronic Health Record applications,Information Technology / Clinical Informatics,Critical,"Central patient charts, CPOE orders, billing, clinical notes, and medication administration","Primary Data Center, Rack 14A-16B",Elena Rostova (Chief Information Officer),2026-09-06T00:30:00Z
AST-PHR-001,BD Pyxis MedStation Enterprise Dispensing Server,Pharmacy applications,Inpatient Pharmacy,Critical,"Automated controlled substance dispensing, barcoding, inventory controls",Central Pharmacy & Satellite Stations,"Sarah Lin, PharmD (Clinical Pharmacy Director)",2026-09-04T16:00:00Z
AST-RAD-001,Sectra Enterprise PACS Imaging Archiving Server,Radiology applications,Radiology & Diagnostics,High,"DICOM image store-and-forward, radiologist review workstations","Primary Data Center, Rack 09C",Marcus Vance (Director of Medical Imaging),2026-09-05T11:20:00Z
AST-LAB-001,Roche Cobas 8000 Modular Laboratory Analyzer,Laboratory systems,Pathology & Core Lab,High,Automated blood chemistry and high-throughput diagnostic immunoassay,"Clinical Labs, Building C, Room 210",Dr. Henry Wu (Laboratory Medical Director),2026-09-01T08:00:00Z
AST-LAB-002,Sysmex XN-9100 Hematology Automation Line,Laboratory systems,Hematology Lab,Medium,Complete blood count and digital blood cell morphology analysis,"Clinical Labs, Building C, Room 214",Dr. Henry Wu (Laboratory Medical Director),2026-08-15T12:00:00Z
AST-INF-002,Alaris 8015 Point-of-Care Medication Module,Infusion pumps,Pediatric Intensive Care Unit,Critical,Neonatal micro-infusion and continuous titration monitoring,"Tower C, Floor 5, PICU Suite 502","Sarah Lin, PharmD (Clinical Pharmacy Director)",2026-09-05T22:10:00Z
AST-ADM-001,Staff Scheduling & Bed Management Portal,Electronic Health Record applications,Hospital Administration,Medium,"Nurse roster scheduling, patient transport tracking, bed turn status","Virtual Cloud Instance, AWS us-east-1",David Kim (Director of Clinical Operations),2026-09-05T07:45:00Z
AST-FAC-001,Johnson Controls Metasys HVAC & Cleanroom Air Controller,Patient monitoring devices,Facilities & Engineering,Low,Operating room positive air pressure regulation and surgical suite cooling,"Central Utility Plant, Mezzanine",Thomas Gray (Head of Physical Plant),2026-08-01T10:00:00Z
